timestamp,temperature
2026-01-05T00:00:00,2.00
2026-01-05T01:00:00,2.15
2026-01-05T02:00:00,2.30
2026-01-05T03:00:00,2.45
2026-01-05T04:00:00,2.60
2026-01-05T05:00:00,2.75
2026-01-05T06:00:00,2.90
2026-01-05T07:00:00,3.05
2026-01-05T08:00:00,3.20
2026-01-05T09:00:00,3.35
2026-01-05T10:00:00,3.50
2026-01-05T11:00:00,3.65
2026-01-05T12:00:00,3.80
2026-01-05T13:00:00,3.95
2026-01-05T14:00:00,4.10
2026-01-05T15:00:00,4.25
2026-01-05T16:00:00,4.40
2026-01-05T17:00:00,4.55
2026-01-05T18:00:00,4.70
2026-01-05T19:00:00,4.85
2026-01-05T20:00:00,5.00
2026-01-05T21:00:00,5.15
2026-01-05T22:00:00,5.30
2026-01-05T23:00:00,5.45
2026-01-06T00:00:00,2.20
2026-01-06T01:00:00,2.35
2026-01-06T02:00:00,2.50
2026-01-06T03:00:00,2.65
2026-01-06T04:00:00,2.80
2026-01-06T05:00:00,2.95
2026-01-06T06:00:00,3.10
2026-01-06T07:00:00,3.25
2026-01-06T08:00:00,3.40
2026-01-06T09:00:00,3.55
2026-01-06T10:00:00,3.70
2026-01-06T11:00:00,3.85
2026-01-06T12:00:00,4.00
2026-01-06T13:00:00,4.15
2026-01-06T14:00:00,4.30
2026-01-06T15:00:00,4.45
2026-01-06T16:00:00,4.60
2026-01-06T17:00:00,4.75
2026-01-06T18:00:00,4.90
2026-01-06T19:00:00,5.05
2026-01-06T20:00:00,5.20
2026-01-06T21:00:00,5.35
2026-01-06T22:00:00,5.50
2026-01-06T23:00:00,5.65
2026-01-07T00:00:00,2.40
2026-01-07T01:00:00,2.55
2026-01-07T02:00:00,2.70
2026-01-07T03:00:00,2.85
2026-01-07T04:00:00,3.00
2026-01-07T05:00:00,3.15
2026-01-07T06:00:00,3.30
2026-01-07T07:00:00,3.45
2026-01-07T08:00:00,3.60
2026-01-07T09:00:00,3.75
2026-01-07T10:00:00,3.90
2026-01-07T11:00:00,4.05
2026-01-07T12:00:00,4.20
2026-01-07T13:00:00,4.35
2026-01-07T14:00:00,4.50
2026-01-07T15:00:00,4.65
2026-01-07T16:00:00,4.80
2026-01-07T17:00:00,4.95
2026-01-07T18:00:00,5.10
2026-01-07T19:00:00,5.25
2026-01-07T20:00:00,5.40
2026-01-07T21:00:00,5.55
2026-01-07T22:00:00,5.70
2026-01-07T23:00:00,5.85
2026-01-08T00:00:00,2.60
2026-01-08T01:00:00,2.75
2026-01-08T02:00:00,2.90
2026-01-08T03:00:00,3.05
2026-01-08T04:00:00,3.20
2026-01-08T05:00:00,3.35
2026-01-08T06:00:00,3.50
2026-01-08T07:00:00,3.65
2026-01-08T08:00:00,3.80
2026-01-08T09:00:00,3.95
2026-01-08T10:00:00,4.10
2026-01-08T11:00:00,4.25
2026-01-08T12:00:00,4.40
2026-01-08T13:00:00,4.55
2026-01-08T14:00:00,4.70
2026-01-08T15:00:00,4.85
2026-01-08T16:00:00,5.00
2026-01-08T17:00:00,5.15
2026-01-08T18:00:00,5.30
2026-01-08T19:00:00,5.45
2026-01-08T20:00:00,5.60
2026-01-08T21:00:00,5.75
2026-01-08T22:00:00,5.90
2026-01-08T23:00:00,6.05
2026-01-09T00:00:00,2.80
2026-01-09T01:00:00,2.95
2026-01-09T02:00:00,3.10
2026-01-09T03:00:00,3.25
2026-01-09T04:00:00,3.40
2026-01-09T05:00:00,3.55
2026-01-09T06:00:00,3.70
2026-01-09T07:00:00,3.85
2026-01-09T08:00:00,4.00
2026-01-09T09:00:00,4.15
2026-01-09T10:00:00,4.30
2026-01-09T11:00:00,4.45
2026-01-09T12:00:00,4.60
2026-01-09T13:00:00,4.75
2026-01-09T14:00:00,4.90
2026-01-09T15:00:00,5.05
2026-01-09T16:00:00,5.20
2026-01-09T17:00:00,5.35
2026-01-09T18:00:00,5.50
2026-01-09T19:00:00,5.65
2026-01-09T20:00:00,5.80
2026-01-09T21:00:00,5.95
2026-01-09T22:00:00,6.10
2026-01-09T23:00:00,6.25
2026-01-10T00:00:00,3.00
2026-01-10T01:00:00,3.15
2026-01-10T02:00:00,3.30
2026-01-10T03:00:00,3.45
2026-01-10T04:00:00,3.60
2026-01-10T05:00:00,3.75
2026-01-10T06:00:00,3.90
2026-01-10T07:00:00,4.05
2026-01-10T08:00:00,4.20
2026-01-10T09:00:00,4.35
2026-01-10T10:00:00,4.50
2026-01-10T11:00:00,4.65
2026-01-10T12:00:00,4.80
2026-01-10T13:00:00,4.95
2026-01-10T14:00:00,5.10
2026-01-10T15:00:00,5.25
2026-01-10T16:00:00,5.40
2026-01-10T17:00:00,5.55
2026-01-10T18:00:00,5.70
2026-01-10T19:00:00,5.85
2026-01-10T20:00:00,6.00
2026-01-10T21:00:00,6.15
2026-01-10T22:00:00,6.30
2026-01-10T23:00:00,6.45
